,portfolio_return,benchmark_return,regime,portfolio_growth,benchmark_growth
2020-10-31,-0.0260229373587405,-0.02493356004810887,Growth,1.9369771563335432,2.091458095339732
2020-11-30,0.12381129379265177,0.10877670620974889,Growth,2.176796804106011,2.318960018126503
2020-12-31,0.03685274581976403,0.037048482921113735,Growth,2.2570177434290044,2.4048739687528085
2021-01-31,-0.00932003454501958,-0.010190621092486252,Growth,2.235982260091524,2.380366809362065
2021-02-28,0.03555342402968606,0.027805632223377286,Growth,2.3154790855074134,2.4465544134199204
2021-03-31,0.05080818879354148,0.04539941948565063,Growth,2.4331243840313705,2.5576265635292414
2021-04-30,0.048209008902192305,0.05291024779839382,Growth,2.55042289912128,2.692951218781328
2021-05-31,0.00716887443839454,0.006566172964715289,Growth,2.5687065606498867,2.710633602269387
2021-06-30,0.019190728944576508,0.022427276881196834,Growth,2.618001911993474,2.7714257325909584
2021-07-31,-0.013803625572631038,0.02441274941812721,Inflationary,2.581863993851884,2.8390838545316512
2021-08-31,0.024843900097878922,0.029759566781281332,Growth,2.646007564981451,2.9235737600982437
2021-09-30,-0.036933774451505905,-0.046605399138025305,Growth,2.5482805183794475,2.7873194380994075
2021-10-31,0.08014198670803613,0.07016352386686786,Growth,2.7525047818117607,2.98288759201908
2021-11-30,-0.0065978252447387465,-0.008034881856041731,Growth,2.734344236276059,2.958920442627354
2021-12-31,0.042144242865168144,0.04624772138539757,Growth,2.8495811038466496,3.095763770859541
2022-01-31,-0.043161962992834035,-0.05274109069785193,Growth,2.7265875896973415,2.9324898130415136
2022-02-28,-0.022755445653590986,-0.029517058003522445,Growth,2.664542873980228,2.8459313411352287
2022-03-31,0.050991986675241935,0.03759051271437763,Inflationary,2.8004132087058387,2.9529113593984184
2022-04-30,-0.052291875303488056,-0.08776907829774172,Inflationary,2.6539743503979523,2.6937370510890877
2022-05-31,0.0510402930265887,0.002257224621523557,Inflationary,2.789433978927314,2.6998174206847163
2022-06-30,-0.10258403118433877,-0.08246045181150341,Inflationary,2.5032825966463803,2.477189256366487
2022-07-31,0.05663707609395387,0.09208737072474116,Defensive,2.6450612035573116,2.705307101772853
2022-08-31,-0.024734942141754705,-0.04080209871745044,Defensive,2.579635767725921,2.5949248943452976
2022-09-30,-0.0772696040296372,-0.09244566547010513,Defensive,2.38030833341305,2.3550353356426044
2022-10-31,0.08933660071371545,0.08127548040081822,Defensive,2.5929569885707013,2.546441963907859
2022-11-30,0.05774987730037598,0.05559154192874005,Defensive,2.7426999365058116,2.688002599113546
2022-12-31,-0.04581331054275196,-0.05762831650161171,Mixed,2.6170477725890846,2.5330975345746753
2023-01-31,0.0419016510319363,0.0628874346747148,Mixed,2.7267063950900186,2.6923975403049214
2023-02-28,-0.02838954761185553,-0.02514259846579192,Mixed,2.6492964340630594,2.624703670038749
2023-03-31,0.018383434665231863,0.03707766246133448,Mixed,2.6979996019674894,2.7220215467774715
2023-04-30,0.014759750539401668,0.01597491132323925,Mixed,2.737821403047935,2.765505599607188
2023-05-31,-0.023654795584761804,0.004616283504743857,Mixed,2.67305879741125,2.7782719574889314
2023-06-30,0.06580280392397292,0.06479974011469292,Mixed,2.8489535613345534,2.9583032583021533
2023-07-31,0.031729195395944626,0.03273345433983166,Mixed,2.93934856555611,3.0551387429311623
2023-08-31,-0.02049482987069982,-0.01625199872830252,Mixed,2.879107116774352,3.0054866319662574
2023-09-30,-0.04126900746141593,-0.0474346184787624,Mixed,2.760289223689975,2.862922520235917
2023-10-31,-0.02431164861209424,-0.021708490227539956,Mixed,2.693182042015874,2.8007727946831715
2023-11-30,0.0766786896943523,0.09134375414821427,Mixed,2.8996917121060113,3.0566058962657183
2023-12-31,0.04202208611881417,0.045655387913390744,Mixed,3.0215428069501415,3.196156424158087
